ageb,total
965,102
967,279
968,191
971,119
972,65
975,192
98,39
984,224
986,201
987,110
990,200
991,126
994,126
999,113
