ageb,total
2748,31
2752,93
2755,224
2760,1
2767,187
276A,22
2771,129
2774,144
2785,327
2786,113
2789,164
278A,14
2790,64
2793,113
2794,15
279A,304
2802,453
2803,31
2806,108
2807,3
2810,183
2818,170
2822,113
2825,82
2830,2
2837,88
283A,47
2841,36
2844,151
2856,107
2859,31
2860,34
2863,178
286A,125
2875,36
2878,11
2882,172
288A,34
2894,1
2897,225
2907,6
290A,166
2911,21
2914,306
2929,423
2930,18
2933,102
2945,9
2948,240
2949,1
2952,227
2953,2
2964,2
2967,129
2968,9
2971,203
2979,25
2983,3
2986,287
2990,228
2998,1
3001,57
3002,18
3005,149
3006,5
3016,151
3017,3
301A,140
3020,70
3021,3
3024,6
3036,14
3039,88
303A,1
3040,21
3043,172
3044,2
3055,31
3058,175
3062,191
306A,12
3074,4
3077,218
3078,15
3081,61
3082,2
3088,231
3096,75
3097,24
310A,1
3110,8
3113,98
3128,244
3132,101
3133,1
3143,71
3144,1
3147,130
3151,72
3159,4
3163,24
3166,244
3167,5
3170,227
3171,6
3177,347
3178,25
3182,47
3185,241
3197,44
319A,232
3202,17
3209,182
320A,76
3214,36
3217,31
3221,5
3233,1
3236,299
3240,16
3248,8
3252,1
3255,11
3267,18
326A,212
3271,18
3274,241
3286,1
3289,24
3290,66
3293,319
3303,15
3306,395
3310,110
3317,142
3318,1
3321,145
3322,25
3325,126
3336,295
3337,15
333A,1
3340,336
3341,16
3344,2
3360,5
3363,14
3374,356
3378,53
3382,86
338A,28
3394,7
3397,427
3406,278
3407,1
340A,205
3414,229
3429,9
3433,36
3467,7
3471,15
3482,66
3486,38
3490,44
3503,114
350A,280
3514,155
3518,153
3522,1
3529,148
3533,68
3537,10
3541,1
3548,33
3552,51
3556,273
3560,182
3567,108
3575,290
3586,186
358A,15
3590,103
3594,106
3603,69
3607,67
3611,17
3618,127
3626,7
3630,1
3637,17
3641,76
3645,9
3656,93
365A,28
3660,125
3664,155
3679,12
3683,12
368A,194
3694,68
3698,71
3700,40
3707,118
3711,133
3715,18
3726,238
372A,140
3730,179
3734,90
3745,77
3749,26
3753,1
3764,39
3768,4
3772,118
3783,139
3787,94
3791,66
3798,227
3800,182
3804,61
3815,313
3819,70
3823,120
382A,196
3834,119
3838,89
3842,29
3849,126
3853,116
3857,6
3861,36
3868,197
3872,249
3876,1
3891,89
3895,7
3904,181
3912,1
3919,168
3923,155
3931,1
3938,82
3942,62
3950,12
3957,84
3961,450
3965,2
3976,472
397A,25
3980,371
3984,36
3995,96
3999,7
4003,21
400A,124
4014,204
4018,1
4022,4
4029,284
4033,216
4037,3
4048,258
4052,213
4056,3
4060,195
4067,227
4071,188
4075,50
4086,194
408A,5
4090,124
4094,79
4103,217
4107,30
4111,46
4118,149
4122,164
4126,10
4141,185
4145,200
4156,22
415A,125
4160,18
4164,155
4175,122
4179,223
4183,83
418A,96
4194,101
4198,354
4200,103
4207,118
4211,240
4215,133
4226,125
422A,250
4230,165
4234,206
4245,104
4249,196
4253,166
425A,153
4264,73
4268,132
4272,144
4279,108
4283,178
4287,119
4291,72
4298,251
4300,158
4304,118
4319,89
4323,69
4338,57
4342,137
4349,27
4353,236
4357,120
4361,95
4368,99
4376,221
4380,178
4387,174
4391,218
4395,166
4404,65
4408,124
4412,120
4423,86
4427,198
4431,294
4438,131
4442,168
4446,171
4450,149
4457,99
4461,173
4465,208
4476,208
447A,225
4480,202
4484,75
4495,145
4499,188
4501,173
4508,79
4512,299
4516,259
4520,77
4527,127
4531,16
4535,172
4546,573
454A,198
4550,351
4554,136
4565,605
4569,172
4573,199
457A,187
4584,323
4588,123
4592,136
4599,127
4601,256
4605,75
4616,237
461A,47
4620,136
4635,122
4643,106
464A,270
4654,72
4658,99
4662,126
4669,122
4673,106
4677,109
4705,147
4709,195
4713,123
471A,143
4724,72
4728,86
4732,125
4743,200
4762,67
4766,3
4777,43
4781,125
4796,65
479A,5
4809,142
4813,104
4817,10
4821,18
4828,220
4832,92
4836,50
4840,11
4847,163
4851,205
4855,11
4866,215
486A,13
4870,103
4874,12
4885,170
4889,36
489A,188
4902,272
4910,2
4917,384
4921,181
4925,10
4936,313
4940,25
4944,1
4955,39
4963,9
496A,126
4974,34
4978,6
4989,126
4993,122
5008,287
5012,265
5027,191
5031,232
5046,113
504A,23
5050,71
5054,52
5065,161
507A,193
5084,537
5099,77
5101,177
5105,69
5116,195
5120,172
5135,146
5139,22
5143,93
514A,221
5154,100
5158,56
5162,31
5169,114
5173,224
5177,69
5188,152
5192,96
5196,128
5205,52
5209,111
521A,166
5224,227
5243,84
5251,56
5258,143
5262,32
5266,232
5270,58
5277,51
5281,161
5285,22
5296,66
529A,11
5302,40
5309,171
5313,89
5317,26
5328,86
5332,82
5336,90
5340,165
5347,258
5351,47
5355,45
5366,578
536A,33
5370,372
5374,68
5385,327
539A,294
5402,146
5417,178
5421,223
5436,125
5440,164
5444,64
5459,305
5463,261
546A,63
5474,82
5478,105
5482,61
5489,75
5493,145
5497,192
5506,114
550A,88
5510,123
5525,93
5533,71
553A,67
5544,112
5548,27
5552,97
5559,135
5563,80
5567,149
5578,191
5590,1
5597,59
560A,90
5614,57
5618,19
5622,3
5629,99
5633,11
5637,19
5641,2
5648,51
5652,174
5656,42
5667,122
5671,93
5675,2
5694,29
5726,101
5730,3
5745,9
575A,16
5779,105
5798,36
5800,83
5815,113
582A,76
5834,11
5849,47
5872,208
5887,422
5938,3
5942,77
5980,129
5995,42
600A,1
6014,4
6029,1
6033,57
6052,26
6067,50
6071,3
6086,15
6090,2
6103,6
6118,7
6122,4
6141,7
6175,46
6207,1
6226,3
6230,52
6245,18
625A,5
6264,1
6283,4
6300,79
632A,1
6391,53
6404,10
6423,5
6508,77
6512,252
6527,84
6531,219
6546,204
6550,166
6565,1
657A,2
6584,129
6599,2
6601,5
6616,1
6620,46
6635,99
664A,25
6654,32
6669,24
6673,103
6688,88
6692,16
6705,134
671A,199
6724,26
6739,24
6743,269
6758,178
6762,5
6777,79
6809,38
6813,1
6828,48
6832,71
6847,44
6851,14
6866,8
6870,10
6885,53
689A,113
6902,221
6917,41
6921,1
6936,18
6940,36
6955,59
6989,13
6993,4
7012,5
7027,7
7046,30
707A,8
7120,9
714A,1
7154,1
7188,2
7192,1
7205,25
721A,4
7277,1
7281,3
7296,7
7309,21
7328,1
7351,2
7370,12
739A,6
7417,2
7421,8
7436,1
